Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023-06-08 17:54:49-05:30,52,male,multiple times per week,beauty and personal care,no,few times per week,keyword,first page,3,no,rarely,changed my mind or no longer need the item,often,no,moderately,yes,no,3,1,unknown,i have no problem with amazon yet. but others tell me about the refund issues,949469
2023-06-05 14:24:22-05:30,62,male,multiple times per week,clothing and fashion;home and kitchen;others,yes,few times per week,others,first page,5,yes,never,others,always,no,moderately,yes,no,3,5,unknown,no issues,360675
2023-06-09 14:42:24-05:30,16,male,few times per month,groceries and gourmet food;beauty and personal care,no,few times per week,categories,multiple pages,3,yes,never,others,sometimes,yes,heavily,sometimes,sometimes,2,5,user-friendly website/app interface,irrelevant product suggestions,334364
2023-06-08 17:30:34-05:30,15,not_preferred,once a month,groceries and gourmet food;beauty and personal care;clothing and fashion,no,few times per month,keyword,first page,1,no,sometimes,changed my mind or no longer need the item,rarely,no,rarely,no,sometimes,2,5,all the above,add more familiar brands to the list,677928
2023-06-08 17:42:27-05:30,18,male,few times per month,groceries and gourmet food;home and kitchen,sometimes,few times per month,keyword,first page,1,maybe,never,others,sometimes,yes,never,no,no,5,5,competitive prices,irrelevant product suggestions,259368
2023-06-07 21:21:50-05:30,55,others,less than once a month,beauty and personal care,sometimes,few times per month,filter,multiple pages,3,yes,rarely,changed my mind or no longer need the item,never,no,occasionally,no,no,1,2,unknown,no issues,758982
2023-06-04 22:24:47-05:30,24,male,once a month,clothing and fashion;home and kitchen;others,sometimes,few times per week,others,multiple pages,1,maybe,rarely,others,never,yes,heavily,yes,sometimes,5,2,customer service,better app interface and lower shipping charges,446324
2023-06-09 15:06:37-05:30,34,others,few times per month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,yes,rarely,keyword,multiple pages,4,yes,rarely,others,rarely,yes,rarely,sometimes,sometimes,4,4,customer service,quality of product is very poor according to the big offers,528017
2023-06-07 12:13:39-05:30,21,not_preferred,weekly,beauty and personal care;home and kitchen,yes,multiple times a day,categories,first page,5,maybe,rarely,high shipping costs,often,no,moderately,sometimes,sometimes,3,3,customer service,no issues,255921
2023-06-11 22:53:44-05:30,4,not_preferred,once a month,beauty and personal care;clothing and fashion;others,no,rarely,others,first page,3,yes,always,high shipping costs,often,no,occasionally,sometimes,no,5,4,customer service,product quality and accuracy,640607
2023-06-06 19:11:46-05:30,49,others,multiple times per week,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,sometimes,multiple times a day,keyword,multiple pages,2,no,sometimes,high shipping costs,always,no,moderately,sometimes,sometimes,4,5,product recommendations,no issues,271386
2023-06-06 19:15:48-05:30,52,male,less than once a month,beauty and personal care;home and kitchen;others,yes,few times per week,filter,multiple pages,1,maybe,always,found a better price elsewhere,always,no,rarely,sometimes,yes,4,1,unknown,unknown,877686
2023-06-06 19:18:01-05:30,44,male,multiple times per week,beauty and personal care;clothing and fashion;home and kitchen;others,no,few times per month,filter,first page,5,no,rarely,changed my mind or no longer need the item,sometimes,yes,heavily,no,no,5,3,product recommendations,no issues,205397
2023-06-10 14:40:34-05:30,56,others,few times per month,home and kitchen;others,sometimes,multiple times a day,keyword,multiple pages,3,no,often,found a better price elsewhere,sometimes,no,never,yes,yes,2,1,quick delivery,shipping speed and reliability,368054
2023-06-12 09:40:22-05:30,43,not_preferred,less than once a month,clothing and fashion;home and kitchen,no,rarely,others,multiple pages,3,yes,rarely,found a better price elsewhere,rarely,no,heavily,sometimes,yes,2,3,competitive prices,product quality and accuracy,818054
2023-06-08 09:54:40-05:30,42,others,multiple times per week,beauty and personal care;others,no,rarely,others,first page,3,no,rarely,changed my mind or no longer need the item,often,no,heavily,yes,sometimes,4,1,customer service,better app interface and lower shipping charges,409257
2023-06-04 23:24:41-05:30,44,others,few times per month,groceries and gourmet food,no,few times per month,filter,first page,5,maybe,rarely,changed my mind or no longer need the item,sometimes,no,heavily,sometimes,no,5,5,product recommendations,quality of product is very poor according to the big offers,612742
2023-06-09 14:39:16-05:30,56,male,less than once a month,groceries and gourmet food;beauty and personal care;clothing and fashion,yes,rarely,filter,multiple pages,4,no,never,found a better price elsewhere,never,yes,never,yes,no,5,2,customer service,no issues,814908
2023-06-08 17:27:22-05:30,25,others,less than once a month,beauty and personal care;others,sometimes,rarely,others,first page,4,no,sometimes,others,rarely,yes,moderately,sometimes,no,2,5,wide product selection,irrelevant product suggestions,325176
2023-06-11 22:57:34-05:30,27,male,weekly,groceries and gourmet food;beauty and personal care;others,yes,few times per week,categories,first page,4,maybe,rarely,high shipping costs,never,no,never,yes,yes,2,1,user-friendly website/app interface,user interface,611794
2023-06-09 09:33:35-05:30,18,male,weekly,home and kitchen;others,no,multiple times a day,others,first page,1,yes,always,others,always,no,moderately,yes,sometimes,4,4,product recommendations,shipping speed and reliability,263909
2023-06-06 19:40:11-05:30,20,others,few times per month,groceries and gourmet food;home and kitchen,no,rarely,keyword,first page,2,no,rarely,changed my mind or no longer need the item,rarely,no,never,sometimes,yes,4,5,wide product selection,user interface,160825
2023-06-12 14:44:47-05:30,48,not_preferred,few times per month,others,no,multiple times a day,others,multiple pages,1,maybe,rarely,high shipping costs,rarely,yes,never,sometimes,yes,4,4,unknown,user interface,936306
2023-06-07 11:46:52-05:30,41,female,multiple times per week,beauty and personal care;clothing and fashion;others,sometimes,rarely,keyword,multiple pages,2,maybe,sometimes,high shipping costs,never,yes,rarely,yes,yes,3,1,user-friendly website/app interface,i have no problem with amazon yet. but others tell me about the refund issues,784748
2023-06-12 16:02:02-05:30,22,male,less than once a month,groceries and gourmet food;beauty and personal care;others,sometimes,multiple times a day,filter,first page,2,maybe,rarely,high shipping costs,often,no,heavily,sometimes,yes,4,4,user-friendly website/app interface,no issues,673309
2023-06-08 17:37:13-05:30,27,not_preferred,once a month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,yes,rarely,keyword,multiple pages,3,maybe,never,found a better price elsewhere,sometimes,no,occasionally,no,no,5,5,user-friendly website/app interface,no issues,436584
2023-06-08 17:37:13-05:30,39,female,less than once a month,clothing and fashion;home and kitchen;others,no,rarely,keyword,multiple pages,3,yes,always,found a better price elsewhere,often,yes,heavily,no,no,5,2,wide product selection,irrelevant product suggestions,899597
2023-06-07 20:41:53-05:30,48,male,few times per month,beauty and personal care;home and kitchen,sometimes,multiple times a day,keyword,multiple pages,4,yes,never,changed my mind or no longer need the item,often,no,moderately,yes,sometimes,5,1,all the above,user interface,233387
2023-06-11 22:44:01-05:30,9,female,multiple times per week,clothing and fashion;home and kitchen;others,sometimes,few times per month,categories,first page,5,no,sometimes,others,never,yes,rarely,yes,yes,2,2,wide product selection,i have no problem with amazon yet. but others tell me about the refund issues,140114
2023-06-05 00:39:14-05:30,49,others,less than once a month,clothing and fashion,yes,few times per month,categories,multiple pages,3,no,rarely,high shipping costs,rarely,yes,moderately,no,no,1,3,all the above,customer service responsiveness,512589
2023-06-08 17:57:34-05:30,62,male,multiple times per week,groceries and gourmet food;home and kitchen,sometimes,multiple times a day,filter,multiple pages,2,maybe,rarely,others,sometimes,yes,occasionally,no,no,5,5,all the above,add more familiar brands to the list,699199
2023-06-09 14:40:21-05:30,66,not_preferred,once a month,groceries and gourmet food;home and kitchen,no,few times per month,categories,first page,5,maybe,never,others,often,no,never,sometimes,sometimes,3,1,wide product selection,shipping speed and reliability,429420
2023-06-08 17:57:03-05:30,42,others,once a month,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,yes,few times per week,filter,first page,1,no,sometimes,others,never,no,moderately,yes,no,2,1,customer service,scrolling option would be much better than going to next page,545710
2023-06-09 09:32:44-05:30,63,others,weekly,groceries and gourmet food,yes,few times per week,filter,multiple pages,5,no,always,high shipping costs,sometimes,no,rarely,sometimes,no,3,1,product recommendations,user interface,619931
2023-06-04 13:28:19-05:30,5,not_preferred,multiple times per week,groceries and gourmet food;beauty and personal care;home and kitchen,sometimes,few times per week,filter,multiple pages,5,yes,rarely,high shipping costs,never,no,occasionally,no,yes,5,5,product recommendations,no issues,747990
2023-06-12 16:02:02-05:30,4,female,once a month,groceries and gourmet food;home and kitchen;others,yes,rarely,categories,multiple pages,3,no,often,high shipping costs,always,no,never,yes,no,2,4,quick delivery,quality of product is very poor according to the big offers,463401
2023-06-06 18:45:07-05:30,66,female,less than once a month,home and kitchen;others,yes,multiple times a day,keyword,multiple pages,5,yes,often,changed my mind or no longer need the item,never,no,never,no,sometimes,3,5,wide product selection,add more familiar brands to the list,702775
2023-06-05 14:17:45-05:30,67,others,few times per month,beauty and personal care;clothing and fashion,sometimes,few times per week,others,first page,5,maybe,rarely,others,rarely,yes,heavily,yes,yes,1,3,user-friendly website/app interface,no issues,481900
2023-06-11 23:16:18-05:30,3,not_preferred,few times per month,groceries and gourmet food;clothing and fashion,no,multiple times a day,categories,first page,3,maybe,never,changed my mind or no longer need the item,often,no,rarely,yes,sometimes,2,4,customer service,no issues,911023
2023-06-09 15:25:33-05:30,15,not_preferred,few times per month,groceries and gourmet food;home and kitchen,no,few times per month,keyword,multiple pages,5,no,sometimes,others,sometimes,no,occasionally,no,sometimes,1,2,quick delivery,no issues,195837
2023-06-06 18:45:07-05:30,46,not_preferred,multiple times per week,clothing and fashion;others,yes,multiple times a day,categories,multiple pages,1,no,sometimes,others,rarely,yes,occasionally,sometimes,sometimes,5,4,product recommendations,user interface,744396
2023-06-11 22:50:44-05:30,57,female,less than once a month,groceries and gourmet food;beauty and personal care;clothing and fashion;others,yes,rarely,keyword,first page,3,no,always,found a better price elsewhere,rarely,yes,heavily,no,no,3,5,customer service,scrolling option would be much better than going to next page,854704
2023-06-07 22:59:06-05:30,19,female,multiple times per week,beauty and personal care;clothing and fashion;home and kitchen,no,few times per month,others,first page,5,yes,always,found a better price elsewhere,rarely,no,heavily,no,no,4,1,competitive prices,no issues,342065
2023-06-06 18:37:19-05:30,17,not_preferred,few times per month,groceries and gourmet food;clothing and fashion;home and kitchen,sometimes,rarely,others,first page,2,maybe,sometimes,high shipping costs,never,no,rarely,yes,no,4,3,wide product selection,user interface,598722
2023-06-11 23:16:58-05:30,63,male,less than once a month,groceries and gourmet food;home and kitchen;others,sometimes,multiple times a day,categories,first page,5,no,sometimes,high shipping costs,never,no,heavily,yes,no,3,1,wide product selection,customer service responsiveness,669219
2023-06-05 20:46:09-05:30,37,not_preferred,once a month,beauty and personal care;clothing and fashion;home and kitchen,yes,few times per week,keyword,multiple pages,2,maybe,often,high shipping costs,never,no,heavily,no,sometimes,3,3,wide product selection,irrelevant product suggestions,272872
2023-06-06 19:18:52-05:30,46,not_preferred,weekly,groceries and gourmet food;clothing and fashion,sometimes,multiple times a day,others,multiple pages,3,no,rarely,changed my mind or no longer need the item,often,no,occasionally,no,no,1,1,user-friendly website/app interface,user interface,584509
2023-06-08 19:46:31-05:30,8,male,weekly,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen,yes,multiple times a day,filter,first page,2,no,often,others,always,yes,heavily,sometimes,no,4,2,product recommendations,scrolling option would be much better than going to next page,627559
2023-06-11 23:06:16-05:30,11,not_preferred,once a month,beauty and personal care,sometimes,multiple times a day,keyword,first page,3,maybe,never,high shipping costs,sometimes,yes,heavily,no,sometimes,1,5,all the above,quality of product is very poor according to the big offers,165236
2023-06-06 19:40:11-05:30,62,others,weekly,groceries and gourmet food;home and kitchen;others,yes,multiple times a day,categories,multiple pages,2,no,rarely,others,never,no,rarely,no,yes,4,5,unknown,user interface,579704
2023-06-06 19:19:43-05:30,65,not_preferred,few times per month,home and kitchen;others,yes,few times per week,keyword,multiple pages,4,maybe,never,high shipping costs,rarely,no,rarely,yes,yes,3,4,customer service,no issues,760313
2023-06-05 13:27:08-05:30,30,not_preferred,once a month,groceries and gourmet food;beauty and personal care;others,no,few times per month,categories,first page,2,no,never,found a better price elsewhere,always,no,never,sometimes,yes,2,3,competitive prices,add more familiar brands to the list,135840
2023-06-07 09:25:35-05:30,59,male,weekly,beauty and personal care;clothing and fashion;others,yes,multiple times a day,keyword,first page,3,maybe,never,others,rarely,no,rarely,sometimes,yes,1,3,user-friendly website/app interface,add more familiar brands to the list,390612
2023-06-09 16:32:00-05:30,10,not_preferred,multiple times per week,beauty and personal care;home and kitchen,yes,multiple times a day,keyword,multiple pages,3,yes,often,found a better price elsewhere,always,no,never,yes,sometimes,4,2,competitive prices,no issues,204967
2023-06-11 21:15:38-05:30,23,others,multiple times per week,groceries and gourmet food;clothing and fashion,no,multiple times a day,keyword,first page,4,yes,often,changed my mind or no longer need the item,always,no,never,sometimes,yes,5,5,competitive prices,no issues,237613
2023-06-05 14:17:45-05:30,9,female,multiple times per week,home and kitchen,yes,rarely,others,first page,5,no,often,others,rarely,no,moderately,sometimes,sometimes,4,2,all the above,no issues,199570
2023-06-07 22:10:58-05:30,64,not_preferred,few times per month,groceries and gourmet food;home and kitchen,sometimes,multiple times a day,filter,first page,5,maybe,sometimes,high shipping costs,sometimes,no,rarely,no,sometimes,5,5,user-friendly website/app interface,scrolling option would be much better than going to next page,528795
2023-06-10 23:21:59-05:30,29,male,weekly,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen;others,yes,multiple times a day,others,multiple pages,1,no,sometimes,high shipping costs,always,yes,rarely,sometimes,yes,5,1,all the above,no issues,247726
2023-06-07 21:19:32-05:30,36,others,multiple times per week,groceries and gourmet food;clothing and fashion;home and kitchen;others,no,few times per week,others,first page,1,maybe,never,changed my mind or no longer need the item,rarely,no,moderately,yes,no,4,1,product recommendations,product quality and accuracy,579950
2023-06-08 17:57:34-05:30,62,others,once a month,clothing and fashion,sometimes,rarely,keyword,first page,3,no,often,high shipping costs,rarely,yes,occasionally,yes,yes,5,4,competitive prices,shipping speed and reliability,564086
2023-06-06 10:19:05-05:30,66,male,few times per month,beauty and personal care;clothing and fashion;home and kitchen,no,few times per month,keyword,multiple pages,4,no,often,changed my mind or no longer need the item,often,yes,never,yes,yes,3,5,quick delivery,user interface,868515
2023-06-07 19:17:13-05:30,47,female,few times per month,groceries and gourmet food;clothing and fashion;others,no,rarely,others,first page,2,no,rarely,found a better price elsewhere,rarely,yes,heavily,yes,no,2,2,user-friendly website/app interface,no issues,281036
2023-06-06 19:46:27-05:30,56,not_preferred,weekly,groceries and gourmet food;beauty and personal care;clothing and fashion;home and kitchen,no,rarely,keyword,multiple pages,5,yes,rarely,others,always,no,rarely,sometimes,sometimes,3,2,customer service,user interface,617273
2023-06-09 15:25:33-05:30,4,not_preferred,few times per month,home and kitchen,no,few times per week,keyword,first page,1,yes,often,changed my mind or no longer need the item,rarely,no,moderately,sometimes,yes,3,5,unknown,add more familiar brands to the list,259062
2023-06-12 15:29:20-05:30,44,male,weekly,beauty and personal care;clothing and fashion;home and kitchen;others,yes,few times per week,keyword,multiple pages,5,no,often,changed my mind or no longer need the item,rarely,yes,rarely,yes,yes,4,3,unknown,better app interface and lower shipping charges,607641
2023-06-05 00:57:05-05:30,13,others,weekly,groceries and gourmet food;beauty and personal care;home and kitchen,no,few times per month,keyword,multiple pages,2,maybe,rarely,found a better price elsewhere,sometimes,yes,never,no,sometimes,4,5,quick delivery,reducing packaging waste,139333
2023-06-04 23:24:41-05:30,5,not_preferred,once a month,beauty and personal care;home and kitchen,no,few times per week,keyword,first page,5,maybe,often,high shipping costs,never,no,never,yes,no,5,2,user-friendly website/app interface,scrolling option would be much better than going to next page,367564
2023-06-06 21:08:20-05:30,28,female,few times per month,clothing and fashion,sometimes,rarely,others,multiple pages,1,maybe,often,others,often,no,occasionally,sometimes,sometimes,1,3,customer service,shipping speed and reliability,517033
2023-06-08 17:30:12-05:30,12,female,weekly,groceries and gourmet food;beauty and personal care;clothing and fashion,no,rarely,filter,first page,2,no,often,found a better price elsewhere,always,yes,rarely,yes,sometimes,3,4,all the above,user interface,289880
2023-06-07 14:09:49-05:30,39,female,multiple times per week,groceries and gourmet food;beauty and personal care;clothing and fashion;others,no,few times per month,categories,first page,3,maybe,often,others,rarely,no,heavily,no,no,5,5,customer service,shipping speed and reliability,330199
2023-06-08 03:25:32-05:30,63,not_preferred,weekly,others,no,multiple times a day,keyword,first page,2,no,often,changed my mind or no longer need the item,sometimes,no,rarely,yes,yes,3,4,unknown,no issues,129379
2023-06-05 13:28:44-05:30,41,female,few times per month,home and kitchen,sometimes,few times per month,others,first page,1,no,sometimes,others,always,yes,moderately,yes,no,3,2,product recommendations,user interface,744959
2023-06-08 17:58:43-05:30,7,not_preferred,few times per month,groceries and gourmet food;clothing and fashion;others,no,multiple times a day,keyword,multiple pages,5,maybe,never,others,rarely,yes,rarely,no,yes,4,2,user-friendly website/app interface,better app interface and lower shipping charges,629358
2023-06-05 14:16:16-05:30,44,female,weekly,groceries and gourmet food;beauty and personal care;others,sometimes,few times per week,filter,first page,1,yes,never,others,never,yes,moderately,no,yes,5,4,all the above,user interface,597268
2023-06-11 23:00:11-05:30,5,others,few times per month,groceries and gourmet food;beauty and personal care;others,no,few times per month,keyword,multiple pages,5,maybe,often,high shipping costs,often,yes,occasionally,yes,yes,3,3,user-friendly website/app interface,better app interface and lower shipping charges,999328
2023-06-08 17:54:49-05:30,40,not_preferred,weekly,beauty and personal care;clothing and fashion;others,yes,few times per month,keyword,first page,5,maybe,often,changed my mind or no longer need the item,rarely,yes,rarely,yes,no,1,1,user-friendly website/app interface,no issues,520005
2023-06-08 17:39:57-05:30,4,not_preferred,multiple times per week,groceries and gourmet food;clothing and fashion;home and kitchen;others,no,rarely,filter,multiple pages,3,yes,often,changed my mind or no longer need the item,never,yes,never,yes,sometimes,4,3,all the above,product quality and accuracy,917994
2023-06-06 21:08:20-05:30,24,female,less than once a month,groceries and gourmet food,no,multiple times a day,others,multiple pages,2,maybe,always,high shipping costs,always,no,moderately,no,yes,2,5,customer service,no issues,260715
2023-06-08 17:24:42-05:30,41,female,once a month,groceries and gourmet food;beauty and personal care;home and kitchen,no,few times per month,keyword,multiple pages,5,yes,never,high shipping costs,never,yes,never,sometimes,yes,1,3,user-friendly website/app interface,unknown,795038
2023-06-08 03:24:37-05:30,65,male,few times per month,beauty and personal care,yes,few times per week,others,multiple pages,5,maybe,often,others,rarely,no,heavily,sometimes,sometimes,3,1,unknown,no issues,870703
2023-06-06 20:55:08-05:30,20,female,weekly,groceries and gourmet food;beauty and personal care;home and kitchen,no,multiple times a day,others,first page,5,maybe,often,changed my mind or no longer need the item,rarely,yes,never,no,sometimes,5,4,product recommendations,user interface,596784
2023-06-06 13:06:16-05:30,20,not_preferred,less than once a month,clothing and fashion;home and kitchen;others,yes,few times per month,others,first page,4,no,never,changed my mind or no longer need the item,often,no,moderately,no,sometimes,3,4,all the above,i have no problem with amazon yet. but others tell me about the refund issues,854587
2023-06-09 14:43:37-05:30,50,female,less than once a month,groceries and gourmet food;clothing and fashion;others,sometimes,few times per month,keyword,multiple pages,2,yes,rarely,found a better price elsewhere,never,yes,moderately,sometimes,no,2,3,user-friendly website/app interface,no issues,380329
2023-06-10 10:49:42-05:30,25,not_preferred,once a month,groceries and gourmet food;beauty and personal care;home and kitchen,yes,rarely,keyword,multiple pages,4,yes,rarely,others,often,yes,never,sometimes,sometimes,4,2,unknown,user interface,511246
2023-06-09 09:39:04-05:30,59,others,weekly,beauty and personal care;others,sometimes,few times per month,filter,first page,3,no,always,high shipping costs,often,no,heavily,sometimes,yes,2,5,all the above,user interface,738862
2023-06-08 03:26:03-05:30,59,male,once a month,beauty and personal care;home and kitchen,sometimes,rarely,filter,multiple pages,1,maybe,often,high shipping costs,never,no,never,yes,no,1,1,user-friendly website/app interface,quality of product is very poor according to the big offers,412124
2023-06-07 22:09:54-05:30,10,others,once a month,clothing and fashion;home and kitchen,yes,few times per month,categories,first page,1,yes,always,changed my mind or no longer need the item,always,no,rarely,sometimes,no,3,5,all the above,shipping speed and reliability,509757
2023-06-07 17:26:20-05:30,47,male,few times per month,groceries and gourmet food;clothing and fashion,yes,few times per week,others,first page,2,maybe,never,found a better price elsewhere,sometimes,no,never,no,yes,3,3,customer service,add more familiar brands to the list,976217
2023-06-08 17:41:46-05:30,13,others,weekly,beauty and personal care;home and kitchen;others,yes,few times per month,keyword,first page,3,yes,sometimes,changed my mind or no longer need the item,rarely,yes,moderately,no,no,2,3,all the above,scrolling option would be much better than going to next page,646076
2023-06-12 15:51:31-05:30,41,others,few times per month,beauty and personal care;clothing and fashion;home and kitchen,sometimes,multiple times a day,keyword,first page,5,maybe,rarely,changed my mind or no longer need the item,sometimes,yes,occasionally,sometimes,sometimes,5,5,competitive prices,no issues,680504
2023-06-06 09:39:32-05:30,17,others,few times per month,groceries and gourmet food;beauty and personal care,no,multiple times a day,keyword,multiple pages,1,no,sometimes,changed my mind or no longer need the item,never,yes,rarely,sometimes,no,3,3,unknown,add more familiar brands to the list,455817
2023-06-05 15:28:01-05:30,43,others,few times per month,groceries and gourmet food;beauty and personal care;clothing and fashion,sometimes,few times per month,filter,first page,4,yes,sometimes,high shipping costs,never,no,occasionally,sometimes,sometimes,5,5,customer service,i have no problem with amazon yet. but others tell me about the refund issues,870729
2023-06-07 12:13:39-05:30,13,not_preferred,few times per month,groceries and gourmet food,sometimes,few times per month,categories,first page,1,no,always,high shipping costs,always,yes,rarely,yes,no,1,1,customer service,reducing packaging waste,956590
